,id,home,away,exhibition,season,variable,change
26393,1043,ADANASPOR A.Ş.,GENÇLERBİRLİĞİ,ADANASPOR A.Ş. - GENÇLERBİRLİĞİ,2016/17,h_in2,CEM ÖZDEMİR 64.dk
1043,1043,ADANASPOR A.Ş.,GENÇLERBİRLİĞİ,ADANASPOR A.Ş. - GENÇLERBİRLİĞİ,2016/17,h_out0,TEVFİK ALTINDAĞ 90+2
2993,1043,ADANASPOR A.Ş.,GENÇLERBİRLİĞİ,ADANASPOR A.Ş. - GENÇLERBİRLİĞİ,2016/17,h_out1,RONEI GLEISON RODRIGUES DOS REIS 82
4943,1043,ADANASPOR A.Ş.,GENÇLERBİRLİĞİ,ADANASPOR A.Ş. - GENÇLERBİRLİĞİ,2016/17,h_out2,EDGAR BRUNO DA SILVA 64
6893,1043,ADANASPOR A.Ş.,GENÇLERBİRLİĞİ,ADANASPOR A.Ş. - GENÇLERBİRLİĞİ,2016/17,h_out3,
32476,1276,ADANASPOR A.Ş.,KARDEMİR KARABÜKSPOR,ADANASPOR A.Ş. - KARDEMİR KARABÜKSPOR,2016/17,a_in0,MARIUS VALERICA GAMAN 90
34426,1276,ADANASPOR A.Ş.,KARDEMİR KARABÜKSPOR,ADANASPOR A.Ş. - KARDEMİR KARABÜKSPOR,2016/17,a_in1,İLHAN DEPE 80
36376,1276,ADANASPOR A.Ş.,KARDEMİR KARABÜKSPOR,ADANASPOR A.Ş. - KARDEMİR KARABÜKSPOR,2016/17,a_in2,SERDAR DELİKTAŞ 64.dk
12976,1276,ADANASPOR A.Ş.,KARDEMİR KARABÜKSPOR,ADANASPOR A.Ş. - KARDEMİR KARABÜKSPOR,2016/17,a_out0,ERMIN ZEC 90
14926,1276,ADANASPOR A.Ş.,KARDEMİR KARABÜKSPOR,ADANASPOR A.Ş. - KARDEMİR KARABÜKSPOR,2016/17,a_out1,ABDOU RAZACK TRAORE 80
16876,1276,ADANASPOR A.Ş.,KARDEMİR KARABÜKSPOR,ADANASPOR A.Ş. - KARDEMİR KARABÜKSPOR,2016/17,a_out2,MUSTAPHA YATABARE 64.dk
22726,1276,ADANASPOR A.Ş.,KARDEMİR KARABÜKSPOR,ADANASPOR A.Ş. - KARDEMİR KARABÜKSPOR,2016/17,h_in0,MUSTAFA SAMİCAN KESKİN 80
24676,1276,ADANASPOR A.Ş.,KARDEMİR KARABÜKSPOR,ADANASPOR A.Ş. - KARDEMİR KARABÜKSPOR,2016/17,h_in1,AHMET DERELİ 65.dk
1276,1276,ADANASPOR A.Ş.,KARDEMİR KARABÜKSPOR,ADANASPOR A.Ş. - KARDEMİR KARABÜKSPOR,2016/17,h_out0,TEVFİK ALTINDAĞ 80
3226,1276,ADANASPOR A.Ş.,KARDEMİR KARABÜKSPOR,ADANASPOR A.Ş. - KARDEMİR KARABÜKSPOR,2016/17,h_out1,EDGAR BRUNO DA SILVA 65
5176,1276,ADANASPOR A.Ş.,KARDEMİR KARABÜKSPOR,ADANASPOR A.Ş. - KARDEMİR KARABÜKSPOR,2016/17,h_out2,
32470,1270,ADANASPOR A.Ş.,KASIMPAŞA A.Ş.,ADANASPOR A.Ş. - KASIMPAŞA A.Ş.,2016/17,a_in0,CRISTIAN DAVID GUANCA 67
34420,1270,ADANASPOR A.Ş.,KASIMPAŞA A.Ş.,ADANASPOR A.Ş. - KASIMPAŞA A.Ş.,2016/17,a_in1,SAMUEL EMEM EDUOK 76
36370,1270,ADANASPOR A.Ş.,KASIMPAŞA A.Ş.,ADANASPOR A.Ş. - KASIMPAŞA A.Ş.,2016/17,a_in2,TURGUT DOĞAN ŞAHİN 67.dk
12970,1270,ADANASPOR A.Ş.,KASIMPAŞA A.Ş.,ADANASPOR A.Ş. - KASIMPAŞA A.Ş.,2016/17,a_out0,ADEM BÜYÜK 67
14920,1270,ADANASPOR A.Ş.,KASIMPAŞA A.Ş.,ADANASPOR A.Ş. - KASIMPAŞA A.Ş.,2016/17,a_out1,TUNAY TORUN 76
16870,1270,ADANASPOR A.Ş.,KASIMPAŞA A.Ş.,ADANASPOR A.Ş. - KASIMPAŞA A.Ş.,2016/17,a_out2,DAVID PAVELKA 67.dk
22720,1270,ADANASPOR A.Ş.,KASIMPAŞA A.Ş.,ADANASPOR A.Ş. - KASIMPAŞA A.Ş.,2016/17,h_in0,CEM ÖZDEMİR 85
24670,1270,ADANASPOR A.Ş.,KASIMPAŞA A.Ş.,ADANASPOR A.Ş. - KASIMPAŞA A.Ş.,2016/17,h_in1,AHMET DERELİ 76
26620,1270,ADANASPOR A.Ş.,KASIMPAŞA A.Ş.,ADANASPOR A.Ş. - KASIMPAŞA A.Ş.,2016/17,h_in2,REYNALDO DOS SANTOS SILVA 62.dk
1270,1270,ADANASPOR A.Ş.,KASIMPAŞA A.Ş.,ADANASPOR A.Ş. - KASIMPAŞA A.Ş.,2016/17,h_out0,TEVFİK ALTINDAĞ 85
3220,1270,ADANASPOR A.Ş.,KASIMPAŞA A.Ş.,ADANASPOR A.Ş. - KASIMPAŞA A.Ş.,2016/17,h_out1,RONEI GLEISON RODRIGUES DOS REIS 76
5170,1270,ADANASPOR A.Ş.,KASIMPAŞA A.Ş.,ADANASPOR A.Ş. - KASIMPAŞA A.Ş.,2016/17,h_out2,VINICIUS SANTOS SILVA 62
7120,1270,ADANASPOR A.Ş.,KASIMPAŞA A.Ş.,ADANASPOR A.Ş. - KASIMPAŞA A.Ş.,2016/17,h_out3,
32455,1255,ADANASPOR A.Ş.,KAYSERİSPOR,ADANASPOR A.Ş. - KAYSERİSPOR,2016/17,a_in0,ANIL KARAER 88
